,brand,category,id,name,price
170,Two Chefs Brewing,Indian pale ale,181567FLS,Two Chefs Brewing Green Bullet India Pale Ale Fles 33cl,2.57
171,Palm,Amber bier,92498BLK,Palm Amber Speciaalbier Blik 50cl,1.24
172,Walhalla,Amber bier,201314FLS,Walhalla Ares American Amber Fles 33cl,2.29
173,Heaps of Hops,Indian pale ale,227469FLS,Heaps of Hops Bøcketlist New England IPA Fles 330ml,2.54
174,Wieckse,Witbier,685909PAK,Wieckse Witte Bier Fles 6 x 30cl,4.46
175,Gruut,Blond,226913FLS,Gruut Blond Fles 330ml,1.78
176,Grolsch,Bockbier,112390PAK,Grolsch Rijke Herfstbok Blik 6 x 33cl,6.36
177,Alfa,Zwaar bier,77644BLK,Alfa Super Strong 9.2 Blik 50cl,1.04
178,Paulaner,Witbier,198322BLK,Paulaner Hefe-Weiss Bier Blik 50cl,1.95
179,Hertog Jan,Bockbier,211088BLK,Hertog Jan Bockbier Bier Blik 50cl,1.71
180,Hertog Jan,Tripel,213412FLS,Hertog Jan Arcener Tripel Fles 50cl,5.86
181,Grolsch,Blond,225347PAK,Grolsch Weizen 0.0% Fles 6 x 30cl,4.94
182,Hertog Jan,Quadrupel,213415FLS,Hertog Jan Grand Prestige Fles 500ml,6.03
183,Grolsch,Bockbier,161821PAK,Grolsch Gerijpte Herfstbok Fles 6 x 30cl,6.26
184,Heaps of Hops,Indian pale ale,213563FLS,Heaps of Hops Bjørningman Fles 330ml,2.44
185,De 7 Deugden,Blond,193465FLS,De 7 Deugden Koor + Blond Bier Fles 33cl,2.31
186,Brugs Tarwebier,Witbier,227225FLS,Brugs Tarwebier 250ml,1.19
187,Zundert,Blond,162410FLS,Zundert Trappist Fles 33cl,2.13
188,Brouwerij de Molen,Indian pale ale,191243FLS,Brouwerij de Molen Amarillo Imperial IPA Fles 33cl,2.99
189,Wilderen,Tripel,201285FLS,"Wilderen Tripel Kanunn Alcoholpercentage 8,2% 33cl",1.85
190,Leffe,Tripel,223966PAK,Leffe Tripel Blikken 4 x 33cl,6.17
191,Alfa,Oud bruin bier,35987PAK,Alfa Donker Bruin Flessen 6 x 30cl,3.79
192,Gulpener,Weizen,74197PAK,Gulpener Biologische Ur-Weizen Flessen 6 x 30cl,5.87
193,Brussels Beer Project,"Kriek, fruitbier",201280FLS,Brussels Beer Project Jungle Joy Fles 33cl,2.65
194,Bavaria,Bockbier,142870TRA,Bavaria Bok Bier 6-Pack,5.5
195,Texels,Witbier,183714FLS,Texels Speciaalbier Wit Fles 30cl,1.57
196,Gulden Draak,Quadrupel,193443FLS,Gulden Draak 9000 Quadruple Fles 330ml,1.58
197,Brand,Indian pale ale,224083BLK,Brand IPA Bier Blik 33cl,1.47
198,Franziskaner Weissbier,Weizen,163448FLS,"Franziskaner Weissbier Dunkel Premium Hefe - Weissbier Fles 0, 5L",1.41
199,,Indian pale ale,191676FLS,Bird of Prey IPA Fles 330ml,2.49
200,Rebelse Strop,Saison,213575FLS,Rebelse Strop Fier Gents Bier Fles 33cl,2.07
201,Bavaria,"Bier - Alcoholvrij, Indian pale ale",225011PAK,Bavaria 0.0% Alcoholvrij IPA Bier 6-Pack,4.27
202,Brouwerij de Molen,Blond,191245FLS,Brouwerij de Molen Op &amp; Top Hoppy Blond Fles 33cl,2.09
203,vandeStreek,Indian pale ale,191419FLS,vandeStreek Bier Hop Art Fles 33cl,2.43
204,Tripel Karmeliet,"Bier - Cadeauverpakkingen, Tripel",213592FLS,Tripel Karmeliet Fles 75cl,4.64
205,De Leckere,Indian pale ale,212681FLS,"De Leckere Premium Organic 0,5% IPA Fles 33cl",2.63
206,St Feuillien,Blond,193401FLS,St Feuillien Blonde Fles 33cl,2.0
207,Leffe,Blond,189788FLS,Leffe Blond Belgisch Abdijbier Fles 75cl,5.05
208,Schelde Brouwerij,Blond,191678FLS,Schelde Brouwerij Strandgaper Blond Fles 33cl,1.99
209,,Indian pale ale,201248FLS,Miss Hooter Hoppy Wheat Fles 330ml,2.49
210,Palm,Amber bier,223958PAK,PALM Amber Speciaal Bier Fles 4-Pack,3.79
211,Weihenstephaner,Bockbier,224342FLS,"Weihenstephaner Vitus Fles 0, 5L",2.29
212,Jopen,Blond,223919FLS,Jopen Bitterzoet Verlangen Blond Fles 330ml,2.05
213,Two Chefs Brewing,Witbier,181568FLS,Two Chefs Brewing White Mamba Wit Fles 33cl,2.45
214,Chimay,Tripel,193448FLS,"Chimay Pères Trappistes Tripel Fles 0, 33L",1.38
215,La Chouffe,Blond,257504FLS,La Chouffe Fles 75cl,3.73
216,Jopen,Blond,224085FLS,Jopen Let There Be Light Limited Fles 330ml,2.49
217,Brouwerij 't IJ,Amber bier,172990FLS,Brouwerij 't IJ Columbus 33cl,1.97
218,Keizer Karel,Blond,213478FLS,Keizer Karel Goud Blond Fles 33cl,1.85
219,Warsteiner,Blond,179846PAK,"Warsteiner Winter Speciale Editie Flessen 6 x 0, 33L",5.22
220,Hertog Jan,Dubbel,213398FLS,Hertog Jan Arcener Dubbel Fles 50cl,5.7
221,Texels,Witbier,189755FLS,Texels Speciaalbier Skuumkoppe Fles 75cl,5.5
222,Palm,Indian pale ale,224341PAK,PALM Session IPA 4-Pack,4.74
223,Gulpener,Witbier,48791PAK,Gulpener Korenwolf Flessen 6 x 30cl,5.79
224,Kompaan,Weizen,191407FLS,Kompaan Badgast Weizen 330ml,2.85
225,Chimay,Dubbel,193461FLS,"Chimay Pères Trappistes Fles 0, 33L",1.48
226,Brand,Bockbier,191333STK,Brand Dubbelbock Bier Blik 50cl,1.66
227,Weihenstephaner,Weizen,224343FLS,"Weihenstephaner Hefeweissbier Fles 0, 5L",1.61
228,Kompaan,Indian pale ale,191748FLS,Kompaan Hand Langer Double I.P.A. Fles 33cl,2.39
229,Amstel,Blond,89666BLK,Amstel Blond Bier Blik 50cl,0.64
230,Bronckhorster,Blond,224929FLS,Bronckhorster James Blond Fles 33cl,2.39
231,Gentse Strop,Blond,213573FLS,Gentse Strop Fles 330ml,1.88
232,Bird Brewery,Ale,296203FLS,Bird Brewery Fuut Fieuw Session Pale Ale Fles 33cl,2.29
233,Jopen,Bockbier,190850STK,Jopen Bokbier 4-Granen Bok Fles 33cl,1.76
234,St. Feuillien,Tripel,296313FLS,St. Feuillien Grisette Triple Bio 25cl,1.86
235,Polar Moneys,Indian pale ale,296314FLS,Polar Monkeys Chairman Ipa 33cl,1.79
236,La Trappe,Amber bier,296330FLS,La Trappe Isid'or Trappist Fles Speciaalbier 75cl,5.36
237,Brouwersnos,Tripel,296291FLS,Brouwersnos Mooien Muiter Tripel 33cl,2.99
238,Gulden Draak,Stout bier,296254FLS,Gulden Draak Imperial Stout 33cl,2.22
239,Kissmeyer,Stout bier,296260FLS,Kissmeyer Eclipsed Kiss 33cl,2.09
240,Grolsch,Dubbel,285536FLS,Grolsch Volle Dubbel Beugelfles 45cl,2.66
241,Floreffe,Blond,295305FLS,Floreffe Abdijbier Blond Fles 330ml,1.89
242,Brothers in law,Ale,296261FLS,Brothers In Law Australian Pale Ale 33cl,2.28
